Field,Career,Skills,GPA,Extracurricular_Activities,Internships,Projects,Leadership_Positions,Field_Specific_Courses,Research_Experience,Coding_Skills,Communication_Skills,Problem_Solving_Skills,Teamwork_Skills,Analytical_Skills,Presentation_Skills,Networking_Skills,Industry_Certifications
Engineering,Urban Planner,"GIS, Urban Design, Zoning Laws",3.530438534147387,5,0,2,0,3,1,4,4,2,2,1,0,1,1
Chemistry,Art Director,"Creative Thinking, Graphic Design, Adobe Suite",4.018247221685561,1,2,0,0,8,1,3,4,0,3,0,3,0,1
Engineering,Chemist,"Analytical Chemistry, Lab Techniques, Spectroscopy",4.636733223332204,1,0,0,0,5,0,1,1,1,2,2,3,4,1
Physics,Manager,"Leadership, Project Management, Strategic Planning",4.052692953534206,3,1,3,0,1,0,4,1,3,1,2,1,2,0
Law,Education Administrator,"Curriculum Design, Policy Management, Staff Supervision",4.834850008942559,0,2,4,0,0,0,4,4,3,4,4,3,2,0
Marketing,Accountant,"SQL, Communication, Creativity",4.029891529095423,2,0,0,1,2,0,0,2,4,3,1,2,4,1
Medicine,Cybersecurity Analyst,"Python, Problem Solving, Team Leadership",3.226644909827205,4,0,1,1,0,1,1,2,4,2,2,3,0,0
Computer Science,Special Education Teacher,"Team Leadership, Data Analysis, SQL",4.378898512867637,2,1,0,0,0,0,2,3,3,4,4,2,4,0
Education,Civil Engineer,"Python, Time Management, Research",3.6712135301622952,3,2,0,1,3,0,0,0,1,0,2,3,3,1
Medicine,Artist,"Critical Thinking, Creativity, Python",3.905219850365391,5,2,2,1,7,0,2,4,4,4,0,3,2,1
Business,Architect,"Problem Solving, Team Leadership, Research",3.983628858616102,0,2,1,1,5,1,2,4,1,3,0,0,4,1
Education,Graphic Designer,"Data Analysis, SQL, Critical Thinking",4.831142370138503,5,1,1,1,5,1,1,1,4,2,4,0,2,0
Engineering,Acoustics Specialist,"Creativity, Data Analysis, Python",2.519861098579108,4,2,3,1,4,1,1,3,2,3,4,1,2,0
Chemistry,Organic Chemist,"Creativity, Critical Thinking, Time Management",3.4993573182286166,4,2,4,0,7,0,2,1,2,1,4,2,2,0
Engineering,Interior Designer,"SQL, Communication, Problem Solving",3.051281363601992,0,0,0,1,0,0,3,0,1,0,3,0,3,0
Architecture,Game Developer,"Data Analysis, SQL, Team Leadership",4.882464657587002,3,2,1,1,1,1,2,2,1,0,1,3,2,1
Chemistry,Music Teacher,"Critical Thinking, Time Management, Communication",2.8496288358342414,0,2,3,1,0,0,2,3,2,3,4,2,3,0
Law,Market Research Analyst,"Data Analysis, Python, Communication",3.325656325067502,0,2,3,0,7,0,2,0,4,3,1,3,0,1
Music,Conductor,"Critical Thinking, Problem Solving, Data Analysis",2.861092300527823,5,1,1,1,0,1,2,2,1,3,4,3,1,1
Medicine,Chemical Engineer,"Critical Thinking, Team Leadership, SQL",4.189086124027632,6,2,2,0,4,1,1,2,3,3,3,3,1,1
Marketing,School Psychologist,"Problem Solving, Research, SQL",4.670245899434831,4,0,4,0,3,1,1,0,3,1,0,1,2,1
Physics,Psychologist,"Time Management, Critical Thinking, Data Analysis",4.045535068198723,1,0,2,1,6,1,2,0,0,3,0,0,4,0
Biology,Special Education Teacher,"Problem Solving, Team Leadership, Data Analysis",3.0815093503014723,7,0,0,1,6,0,4,3,0,2,1,1,3,1
Computer Science,Surgeon,"SQL, Critical Thinking, Creativity",3.293037413815491,2,1,2,0,8,1,0,0,3,1,1,4,2,0
Finance,Digital Marketing Specialist,"Critical Thinking, Time Management, Research",4.411688423234405,8,0,4,0,8,1,3,0,0,1,0,1,4,1
Chemistry,Forensic Psychologist,"SQL, Problem Solving, Critical Thinking",4.91524984804653,1,2,3,0,9,1,0,0,4,1,0,3,0,0
Architecture,Judge,"Data Analysis, Critical Thinking, Communication",4.597910696845415,1,1,4,1,8,0,1,0,2,3,4,3,2,1
Biology,Analytical Chemist,"Communication, Research, Time Management",2.878498258050343,6,2,1,0,3,1,0,4,1,0,1,0,3,1
Medicine,Illustrator,"SQL, Problem Solving, Research",4.419582883962078,8,2,0,0,7,1,1,4,2,0,1,2,1,1
Music,Web Developer,"Python, Problem Solving, Data Analysis",3.6660943730625073,5,0,0,1,8,0,1,1,2,3,0,3,1,0
Computer Science,Art Therapist,"Python, Data Analysis, Team Leadership",2.5841469169994107,0,2,4,1,6,1,3,2,1,0,2,2,4,1
Chemistry,Counselor,"Problem Solving, SQL, Research",3.409774458210828,7,1,1,1,5,1,0,0,1,2,0,2,2,0
Chemistry,Nurse,"Research, Critical Thinking, Python",4.997478345619685,2,0,4,0,5,1,0,0,2,3,1,4,0,0
Marketing,Chemical Engineer,"SQL, Communication, Python",3.2274262997873766,1,1,4,1,1,0,4,2,0,1,1,4,2,1
Architecture,Marketing Manager,"SQL, Communication, Data Analysis",3.038927520900584,5,1,1,1,5,1,1,2,2,3,1,2,0,0
